Нижняя палуба,Главная палуба,Средняя палуба,Шлюпочная палуба
105,202,307,401
106,203,308,402
107,204,309,403
108,205,310,404
109,206,317,405
110,207,318,406
111,208,319,409
112,209,320,410
113,210,321,411
114,211,322,412
115,212,323,413
117,213,324,414
,214,325,415
,215,326,416
,216,327,423
,217,328,424
,218,329,425
,219,330,426
,220,331,427
,221,332,428
,222,333,429
,223,334,430
,224,335,431
,225,336,432
,226,337,433
,227,338,434
,228,339,435
,229,340,436
,230,341,
,231,342,
,232,343,
,233,344,
,234,345,
,,346,
,,347,
,,348,
,,349,
,,350,
,,351,
,,352,
,,353,
,,354,
,,355,
,,356,
,,357,
,,358,
,,359,
,,360,
,,361,
,,362,
,,363,
,,364,
,,365,
,,366,
,,367,
,,368,
,,369,
,,370,
,,371,
